iter	Logloss
0	0.6461259716
1	0.6006894052
2	0.5652582383
3	0.5242027641
4	0.497731568
5	0.4753326625
6	0.4545074509
7	0.4335002113
8	0.4145394058
9	0.3999844377
10	0.3852752888
11	0.3724107071
12	0.361702909
13	0.3492467624
14	0.3395814775
15	0.3303058812
16	0.3218849275
17	0.3130788331
18	0.3019179409
19	0.2941664737
20	0.2876813616
21	0.280963982
22	0.2737849542
23	0.2662012992
24	0.2617142369
25	0.2570671276
26	0.2521653347
27	0.2492824635
28	0.2460663461
29	0.2411768097
30	0.2381738922
31	0.2353995801
32	0.2331800695
33	0.2302555435
34	0.2268527958
35	0.224034785
36	0.2218987822
37	0.2201852299
38	0.2181470314
39	0.2158686217
40	0.2128129814
41	0.2100055406
42	0.2084973556
43	0.2061773662
44	0.2045028161
45	0.2018704132
46	0.198822134
47	0.1975474147
48	0.1967840964
49	0.1954265567
50	0.1943029868
51	0.1918790867
52	0.1905850617
53	0.1894577809
54	0.1880215673
55	0.1864103438
56	0.1855866987
57	0.1833795204
58	0.1813841757
59	0.1795123118
60	0.1791905344
61	0.1776234353
62	0.1767958191
63	0.1760578402
64	0.1746875422
65	0.1740330208
66	0.1721121201
67	0.1714982769
68	0.1699526572
69	0.1687664646
70	0.1670726308
71	0.1664081851
72	0.1657050612
73	0.1649347886
74	0.163881188
75	0.1627021538
76	0.1620728831
77	0.1604477134
78	0.1598517113
79	0.1579607912
80	0.1557215637
81	0.1542339692
82	0.1526022634
83	0.1512874401
84	0.1509058769
85	0.1503548121
86	0.1483839558
87	0.146844386
88	0.1460805452
89	0.1451412867
90	0.1441953461
91	0.1433184084
92	0.1417865034
93	0.1411741272
94	0.1398223922
95	0.1385853987
96	0.1370865176
97	0.1363269618
98	0.135001096
99	0.1336533725
100	0.1324859979
101	0.1317418953
102	0.1305474308
103	0.129382636
104	0.1285111988
105	0.1274582758
106	0.1269527372
107	0.1264964643
108	0.1256709726
109	0.1248039755
110	0.1243131292
111	0.1230548663
112	0.1227001548
113	0.1220483537
114	0.1212222367
115	0.1194265791
116	0.1190872482
117	0.1180961384
118	0.1170741911
119	0.115950945
120	0.1145544889
121	0.1137683928
122	0.1134649949
123	0.1130894498
124	0.1120843455
125	0.1107161598
126	0.1096670592
127	0.108671996
128	0.1085535054
129	0.1078745615
130	0.1069379708
131	0.1060885139
132	0.1052720584
133	0.1045711228
134	0.1041146655
135	0.1032623492
136	0.1022784024
137	0.1011331295
138	0.1009013854
139	0.1005201624
140	0.1002379722
141	0.0990148493
142	0.09872203468
143	0.09833346535
144	0.09794761216
145	0.09651263864
146	0.09561467137
147	0.09528680078
148	0.09500354626
149	0.0940144827
150	0.09334164392
151	0.09254307817
152	0.09156904154
153	0.09135882299
154	0.0904124582
155	0.09020334065
156	0.08958572474
157	0.08897090366
158	0.08787542611
159	0.08699195034
160	0.0864604696
161	0.08553153009
162	0.08492040115
163	0.08483142428
164	0.08475195376
165	0.0838453824
166	0.08302662941
167	0.08222303023
168	0.08158353961
169	0.08105294232
170	0.08039550255
171	0.07977520075
172	0.07957162245
173	0.07869396881
174	0.07862965792
175	0.07766703742
176	0.0774543728
177	0.07653074151
178	0.07616678487
179	0.07519121347
180	0.07450691953
181	0.07433813815
182	0.07406800597
183	0.07360290243
184	0.07344908333
185	0.07328607836
186	0.0727797435
187	0.07241447333
188	0.07206564889
189	0.07170920938
190	0.07121947747
191	0.07106078826
192	0.07091991958
193	0.07015131584
194	0.06967822176
195	0.06849832386
196	0.06812241785
197	0.0677273272
198	0.06751783449
199	0.06714609816
